Source	Target
Algorithm	Algorithm characterizations
Algorithm	Artificial intelligence
Algorithm	Computer science
Algorithm	Data compression
Algorithm	Local search (optimization)
Algorithm	Logic programming
Algorithm	Machine learning
Apple Inc.	Algorithm
Apple Inc.	Amazon (company)
Apple Inc.	Big data
Apple Inc.	Deep learning
Apple Inc.	Facebook
Apple Inc.	Google
Apple Inc.	IBM
Apple Inc.	Machine learning
Apple Inc.	Siri
Apple Inc.	Spreadsheet
Artificial intelligence	AI winter
Artificial intelligence	AlphaGo
Artificial intelligence	Alternating decision tree
Artificial intelligence	Apple Inc.
Artificial intelligence	Arthur Samuel
Artificial intelligence	Artificial general intelligence
Artificial intelligence	Artificial neural network
Artificial intelligence	Automatic differentiation
Artificial intelligence	Bayesian inference
Artificial intelligence	Bayesian network
Artificial intelligence	Big data
Artificial intelligence	CAPTCHA
Artificial intelligence	Case-based reasoning
Artificial intelligence	Clark Glymour
Artificial intelligence	Cognitive architecture
Artificial intelligence	Cognitive science
Artificial intelligence	Computational learning theory
Artificial intelligence	Computer Go
Artificial intelligence	Computer Power and Human Reason
Artificial intelligence	Computer science
Artificial intelligence	Control theory
Artificial intelligence	Convolutional neural network
Artificial intelligence	Creativity
Artificial intelligence	Cybernetics
Artificial intelligence	Cyc
Artificial intelligence	Data compression
Artificial intelligence	Data mining
Artificial intelligence	Decision tree learning
Artificial intelligence	Deeplearning4j
Artificial intelligence	Deep learning
Artificial intelligence	Do Androids Dream of Electric Sheep?
Artificial intelligence	Ethics of artificial intelligence
Artificial intelligence	Feedforward neural network
Artificial intelligence	Future of Life Institute
Artificial intelligence	Fuzzy logic
Artificial intelligence	Gene expression programming
Artificial intelligence	Geoffrey Hinton
Artificial intelligence	Global catastrophic risk
Artificial intelligence	Glossary of artificial intelligence
Artificial intelligence	Google
Artificial intelligence	IBM
Artificial intelligence	Inductive logic programming
Artificial intelligence	Information theory
Artificial intelligence	Intelligent agent
Artificial intelligence	Intelligent control
Artificial intelligence	Joseph Weizenbaum
Artificial intelligence	Kinect
Artificial intelligence	Learning
Artificial intelligence	List of cognitive biases
Artificial intelligence	Local search (optimization)
Artificial intelligence	Logic programming
Artificial intelligence	Machine Learning (journal)
Artificial intelligence	Machine learning
Artificial intelligence	Machine Learning
Artificial intelligence	Markov decision process
Artificial intelligence	Naive Bayes classifier
Artificial intelligence	Neats and scruffies
Artificial intelligence	No free lunch in search and optimization
Artificial intelligence	Optical character recognition
Artificial intelligence	Perceptron
Artificial intelligence	Probability
Artificial intelligence	Ray Solomonoff
Artificial intelligence	Regression analysis
Artificial intelligence	Reinforcement learning
Artificial intelligence	Robot rights
Artificial intelligence	Sepp Hochreiter
Artificial intelligence	Seppo Linnainmaa
Artificial intelligence	Siri
