Source	Target
Algorithm	Machine learning
Benelux	Digital Single Market
Benelux	European Union
Council of the European Union	Alliance of Liberals and Democrats for Europe Party
Council of the European Union	ANO 2011
Council of the European Union	Directive (European Union)
Council of the European Union	European Commissioner
Council of the European Union	European Commission
Council of the European Union	Regulation (European Union)
European Union	Agencies of the European Union
European Union	Benelux
European Union	Council of the European Union
European Union	Directive (European Union)
European Union	European Commissioner
European Union	European Commission
European Union	Europol
European Union	Latvia
European Union	Lithuania
European Union	Microsoft
European Union	Outline of the European Union
European Union	Regulation (European Union)
European Union	Schengen Area
European Union	Smart city
Alliance of Liberals and Democrats for Europe Party	Andrus Ansip
Alliance of Liberals and Democrats for Europe Party	ANO 2011
Alliance of Liberals and Democrats for Europe Party	Council of the European Union
Alliance of Liberals and Democrats for Europe Party	European Commission
Alliance of Liberals and Democrats for Europe Party	European Union
Alliance of Liberals and Democrats for Europe Party	List of European Commissioners by nationality
Alliance of Liberals and Democrats for Europe Party	Lithuania
Alliance of Liberals and Democrats for Europe Party	Věra Jourová
European Commission	Agencies of the European Union
European Commission	Andrus Ansip
European Commission	Council of the European Union
European Commission	European Commissioner
European Commission	European Union
European Commission	Juncker Commission
European Commission	List of European Commissioners by nationality
European Commission	List of European Commission portfolios
European Commission	Microsoft
Information security	Information
Information security	Information privacy
Information security	Payment Card Industry Data Security Standard
Information security	Privacy engineering
Information security	Privacy-enhancing technologies
Information security	Privacy International
Information security	Privacy
Latvia	Council of the European Union
Latvia	European Commission
Latvia	European Union
Latvia	Lithuania
Latvia	Privacy International
Latvia	Privacy
Latvia	Schengen Area
Lithuania	European Union
Lithuania	Latvia
Lithuania	Privacy International
Lithuania	Schengen Area
Microsoft	European Union
Microsoft	Google
Microsoft	Information privacy
Microsoft	Mass surveillance
Microsoft	World Wide Web
Privacy	Big data
Privacy	Data Protection Act 1998
Privacy	Data protection
Privacy	Data Protection Directive
Privacy	De-identification
Privacy	European Union
Privacy	Information Commissioner's Office
Privacy	Information privacy
Privacy	Information privacy law
Privacy	Internet privacy
Privacy	Mass surveillance
Privacy	Microsoft
Privacy	Personally identifiable information
Privacy	Privacy Act of 1974
Privacy	Privacy by design
Privacy	Privacy engineering
Privacy	Privacy-enhancing technologies
Privacy	Privacy International
Privacy	Privacy law
Privacy	Privacy policy
Privacy	Right to privacy
Privacy	Surveillance capitalism
Privacy	Wikimedia Foundation
World Wide Web	European Commission
World Wide Web	Google
World Wide Web	HTTP cookie
World Wide Web	Personally identifiable information
Data mining	Data
Data mining	Edward Snowden
Data mining	European Commission
Data mining	International Safe Harbor Privacy Principles
Data mining	Machine learning
Data mining	Mass surveillance
Data mining	Microsoft
Data mining	Personally identifiable information
Data mining	Surveillance capitalism
Tokenization (data security)	Big data
Tokenization (data security)	Data Protection Directive
Tokenization (data security)	Internet privacy
Tokenization (data security)	Medical record
Tokenization (data security)	Payment Card Industry Data Security Standard
Tokenization (data security)	Personally identifiable information
Cut, copy, and paste	Data
Cut, copy, and paste	Information sensitivity
Cut, copy, and paste	Microsoft
Cut, copy, and paste	Privacy
Information commissioner	Data Protection Act 1998
Information commissioner	Data protection
Information commissioner	European Union
Information commissioner	Federal Commissioner for Data Protection and Freedom of Information
Information commissioner	Federal Data Protection and Information Commissioner
Information commissioner	Information Commissioner's Office
Information commissioner	Information privacy
Directive (European Union)	European Commission
Directive (European Union)	European Union
Directive (European Union)	List of European Union directives
Directive (European Union)	Regulation (European Union)
Consumer privacy	Big data
Consumer privacy	Data
Consumer privacy	European Union
Consumer privacy	Information privacy
Consumer privacy	Privacy law
Consumer privacy	Privacy policy
Consumer privacy	Privacy
Data Protection Commissioner	Article 29 Data Protection Working Party
Data Protection Commissioner	Data Protection Directive
Data Protection Commissioner	European Union
Data Protection Commissioner	General Data Protection Regulation
Data Protection Commissioner	Max Schrems
Machine learning	Algorithm
Machine learning	Algorithmic bias
Machine learning	Big data
Machine learning	Data
Machine learning	Data mining
Information privacy	Commission nationale de l'informatique et des libertés
Information privacy	Data
Information privacy	Data mining
Information privacy	Data Protection Act 1998
Information privacy	Data Protection Commissioner
Information privacy	Data protection
Information privacy	Data Protection Directive
Information privacy	European Commission
Information privacy	European Union
Information privacy	Federal Commissioner for Data Protection and Freedom of Information
Information privacy	Federal Data Protection and Information Commissioner
Information privacy	General Data Protection Regulation
Information privacy	Information Commissioner's Office
Information privacy	Information security
Information privacy	Information sensitivity
Information privacy	International Safe Harbor Privacy Principles
Information privacy	Office of the Data Protection Supervisor
Information privacy	Personally identifiable information
Information privacy	Privacy Act of 1974
Information privacy	Privacy International
Information privacy	Privacy
Data Protection Directive	Article 29 Working Party
Data Protection Directive	Data
Data Protection Directive	Data governance
Data Protection Directive	Data Protection Act 1998
Data Protection Directive	Data protection
Data Protection Directive	Data Protection (Jersey) Law
Data Protection Directive	European Commission
Data Protection Directive	European Union
Data Protection Directive	EU-US Privacy Shield
Data Protection Directive	Fair Credit Reporting Act
Data Protection Directive	General Data Protection Regulation
Data Protection Directive	Information privacy
Data Protection Directive	International Safe Harbor Privacy Principles
Data Protection Directive	Personally identifiable information
Data Protection Directive	Privacy Act of 1974
Data Protection Directive	Privacy law
