Source	Target
Algorithm	Algorithmic efficiency
Algorithm	Artificial intelligence
Algorithm	Benchmark (computing)
Algorithm	Data structure
Algorithm	Oak Ridge National Laboratory
Algorithm	Programming language
Apple Inc.	Accelerated Graphics Port
Apple Inc.	Algorithm
Apple Inc.	Apple I
Apple Inc.	Big data
Apple Inc.	Bluetooth
Apple Inc.	Cache (computing)
Apple Inc.	Central processing unit
Apple Inc.	China
Apple Inc.	Cold cathode
Apple Inc.	Computer hardware
Apple Inc.	Computer program
Apple Inc.	Consumer electronics
Apple Inc.	Data center
Apple Inc.	Dell
Apple Inc.	Desktop computer
Apple Inc.	Digital rights management
Apple Inc.	Digital video
Apple Inc.	Electronic Product Environmental Assessment Tool
Apple Inc.	Facebook
Apple Inc.	Flash memory
Apple Inc.	Ford Motor Company
Apple Inc.	HyperTransport
Apple Inc.	IBM
Apple Inc.	IMac
Apple Inc.	Intel
Apple Inc.	IPad
Apple Inc.	Israel
Apple Inc.	Landfill
Apple Inc.	Laptop
Apple Inc.	MacBook Air
Apple Inc.	MacBook (Retina)
Apple Inc.	Mac Mini
Apple Inc.	Mercury (element)
Apple Inc.	Microsoft
Apple Inc.	Microsoft Office
Apple Inc.	Microsoft Windows
Apple Inc.	Mobile phone
Apple Inc.	Motherboard
Apple Inc.	Motorola
Apple Inc.	National Security Agency
Apple Inc.	Operating system
Apple Inc.	Panasonic
Apple Inc.	PCI Express
Apple Inc.	Personal computer
Apple Inc.	Personal digital assistant
Apple Inc.	Programming language
Apple Inc.	Random-access memory
Apple Inc.	Recycling
Apple Inc.	Software
Apple Inc.	Streaming media
Apple Inc.	Sun Microsystems
Apple Inc.	Tablet computer
Apple Inc.	Toshiba
Apple Inc.	USB
Apple Inc.	Windows Vista
Apple Inc.	Windows XP
Apple Inc.	Workstation
Artificial intelligence	Apple Inc.
Artificial intelligence	Big data
Artificial intelligence	Carnegie Mellon University
Artificial intelligence	Computing platform
Artificial intelligence	Data mining
Artificial intelligence	Desktop computer
Artificial intelligence	IBM
Artificial intelligence	Kinect
Artificial intelligence	Microsoft
Artificial intelligence	Moore's law
Apple I	Apple Inc.
Apple I	Computer recycling
Apple I	Desktop computer
Apple I	Light-emitting diode
Accelerated Graphics Port	Apollo VP3
Accelerated Graphics Port	Apple Inc.
Accelerated Graphics Port	Computer
Accelerated Graphics Port	Conventional PCI
Accelerated Graphics Port	Intel
Accelerated Graphics Port	Linux
Accelerated Graphics Port	Nvidia
Accelerated Graphics Port	PCI Express
Accelerated Graphics Port	VIA Technologies
Accelerated Graphics Port	Video card
Accelerated Graphics Port	Watt
Accelerated Graphics Port	X86
Advanced Micro Devices	64-bit computing
Advanced Micro Devices	Acer Inc.
Advanced Micro Devices	Advanced Host Controller Interface
Advanced Micro Devices	Am386
Advanced Micro Devices	AMD 10h
Advanced Micro Devices	AMD Phenom
Advanced Micro Devices	ARM architecture
Advanced Micro Devices	Associated Press
Advanced Micro Devices	Athlon 64
Advanced Micro Devices	Athlon 64 X2
