Source	Target
ASCII	ARPANET
ASCII	Digital data
ASCII	File Transfer Protocol
ASCII	International Organization for Standardization
ASCII	Internet Assigned Numbers Authority
ASCII	Internet Engineering Task Force
ASCII	Multics
ASCII	Octet (computing)
ASCII	Standardization
ASCII	Telnet
ASCII	Unicode
ASCII	Usenet
ASCII	World Wide Web Consortium
ASCII	World Wide Web
Ada (programming language)	Charles Babbage Institute
Ada (programming language)	International Organization for Standardization
Ada (programming language)	Unicode
American Registry for Internet Numbers	Autonomous system (Internet)
American Registry for Internet Numbers	Bouvet Island
American Registry for Internet Numbers	ICANN
American Registry for Internet Numbers	IETF
American Registry for Internet Numbers	InterNIC
American Registry for Internet Numbers	IP address
American Registry for Internet Numbers	IPv4
American Registry for Internet Numbers	IPv6
American Registry for Internet Numbers	John Curran (businessman)
American Registry for Internet Numbers	Jon Postel
American Registry for Internet Numbers	Regional Internet registry
American Registry for Internet Numbers	Regional Internet Registry
American Registry for Internet Numbers	RIPE
American Registry for Internet Numbers	Scott Bradner
American Registry for Internet Numbers	United States
Association for Computing Machinery	Ada (programming language)
Association for Computing Machinery	Charles Babbage Institute
Association for Computing Machinery	Computer science
Association for Computing Machinery	Vint Cerf
Computer science	Association for Computing Machinery
Computer science	Claude Shannon
Computer science	Computer security
Computer science	Information Age
Claude Shannon	Information Age
Claude Shannon	Ivan Sutherland
Claude Shannon	Marvin Minsky
Claude Shannon	Telecommunication
Client–server model	ARPANET
Client–server model	Computer network
Client–server model	Email
Client–server model	Internet Engineering Task Force
Client–server model	Internet
Client–server model	Peer-to-peer
Client–server model	Server (computing)
Client–server model	Web server
Client–server model	World Wide Web
Computer security	Cable modem
Computer security	Computer network
Computer security	Defense Advanced Research Projects Agency
Computer security	File Transfer Protocol
Computer security	Internet access
Computer security	Internet
Computer security	Internet service provider
Computer security	IP address
Computer security	L. Jean Camp
Computer security	Ping (networking utility)
Computer security	Port (computer networking)
Digital data	ASCII
Digital data	Digital divide
Domain Name System	Address space
Domain Name System	American Registry for Internet Numbers
Domain Name System	Anycast
Domain Name System	.arpa
Domain Name System	ARPANET
Domain Name System	ASCII
Domain Name System	Asia-Pacific Network Information Centre
Domain Name System	Client–server model
Domain Name System	Country code top-level domain
Domain Name System	DNS hijacking
Domain Name System	DNS root zone
Domain Name System	Domain name
Domain Name System	Domain name registry
Domain Name System	Dynamic Host Configuration Protocol
Domain Name System	Example.com
Domain Name System	Fully qualified domain name
Domain Name System	Generic top-level domain
Domain Name System	ICANN
Domain Name System	Information Sciences Institute
Domain Name System	Internationalized domain name
Domain Name System	Internet Corporation for Assigned Names and Numbers
Domain Name System	Internet Engineering Task Force
Domain Name System	Internet
Domain Name System	Internet Society
Domain Name System	InterNIC
Domain Name System	IP address
Domain Name System	IPv4
Domain Name System	IPv6
Domain Name System	Jon Postel
Domain Name System	Namespace
Domain Name System	Octet (computing)
Domain Name System	Paul Mockapetris
Domain Name System	Punycode
Domain Name System	Request for Comments
Domain Name System	Subdomain
Domain Name System	Top-level domain
Domain Name System	Transmission Control Protocol
Domain Name System	Unicode
Domain Name System	University of Southern California
Domain Name System	User Datagram Protocol
Domain Name System	WHOIS
