Source	Target
Apple Inc.	Big data
Apple Inc.	Biometrics
Apple Inc.	Bluetooth
Apple Inc.	Data security
Apple Inc.	Facebook
Apple Inc.	Federal Bureau of Investigation
Apple Inc.	Google
Apple Inc.	Intellectual property
Apple Inc.	Machine learning
Apple Inc.	Microsoft
Apple Inc.	National Security Agency
Apple Inc.	No Starch Press
Apple Inc.	Operating system
Apple Inc.	Personal computer
Apple Inc.	Smartphone
Apple Inc.	Software
Apple Inc.	Spreadsheet
Apple Inc.	Tablet computer
Apple Inc.	The Guardian
Apple Inc.	The Washington Post
Apple Inc.	Tim Cook
Apple Inc.	Wi-Fi
Apple Inc.	Windows XP
Advanced Encryption Standard	Bruce Schneier
Advanced Encryption Standard	Cipher
Advanced Encryption Standard	Classified information
Advanced Encryption Standard	Cryptanalysis
Advanced Encryption Standard	Daniel J. Bernstein
Advanced Encryption Standard	Data Encryption Standard
Advanced Encryption Standard	David A. Wagner
Advanced Encryption Standard	Disk encryption
Advanced Encryption Standard	Edward Snowden
Advanced Encryption Standard	Encryption
Advanced Encryption Standard	FIPS 140-2
Advanced Encryption Standard	FIPS 140
Advanced Encryption Standard	National Security Agency
Advanced Encryption Standard	Side-channel attack
Advanced Encryption Standard	Smart card
Advanced Encryption Standard	Symmetric-key algorithm
Automated theorem proving	Formal verification
Automated theorem proving	SRI International
Bluetooth	Advanced Encryption Standard
Bluetooth	Apple Inc.
Bluetooth	Authentication
Bluetooth	Computer virus
Bluetooth	Cryptographic protocol
Bluetooth	Cryptography
Bluetooth	Eavesdropping
Bluetooth	Encryption
Bluetooth	F-Secure
Bluetooth	Intellectual property
Bluetooth	Internet of things
Bluetooth	Kaspersky Lab
Bluetooth	Length extension attack
Bluetooth	Linux
Bluetooth	MAC address
Bluetooth	Malware
Bluetooth	Man-in-the-middle attack
Bluetooth	Microsoft
Bluetooth	Personal computer
Bluetooth	Personal identification number
Bluetooth	Smartphone
Bluetooth	Wi-Fi
Buffer overflow	Address space layout randomization
Buffer overflow	Buffer over-read
Buffer overflow	Bugtraq
Buffer overflow	Computer security
Buffer overflow	Exploit (computer security)
Buffer overflow	Intrusion detection system
Buffer overflow	Metasploit Project
Buffer overflow	Microsoft
Buffer overflow	Operating system
Buffer overflow	Phrack
Buffer overflow	Privilege escalation
Buffer overflow	Security-focused operating system
Buffer overflow	Shellcode
Buffer overflow	System administrator
Cipher	Advanced Encryption Standard
Cipher	Cryptanalysis
Cipher	Cryptography
Cipher	Data Encryption Standard
Cipher	Encryption
Software	Application software
Software	Computer science
Software	Embedded system
Software	Firmware
Software	Information
Software	Interpreter (computing)
Software	Java (programming language)
Software	Linux
Software	Microsoft
Software	Operating system
Software	Personal computer
Software	Smartphone
Software	Software testing
Software	Symantec
Software	Tablet computer
Software	Television
Software	Unit testing
Software	User (computing)
Computer science	Computer security
Computer science	Cryptography
Computer science	Electronics
Computer science	Formal verification
Computer science	Machine learning
Computer science	Operating system
Computer science	Peter J. Denning
Computer science	Turing Award
Cryptanalysis	Bruce Schneier
Cryptanalysis	Cipher
Cryptanalysis	Cryptography
Cryptanalysis	Daniel J. Bernstein
Cryptanalysis	Data Encryption Standard
Cryptanalysis	Economics of security
Cryptanalysis	Information security
Cryptanalysis	Man-in-the-middle attack
Cryptanalysis	National Security Agency
Cryptanalysis	Security engineering
Cryptanalysis	Wi-Fi
Cryptanalysis	Wireless network
Computer worm	Antivirus software
Computer worm	Backdoor (computing)
Computer worm	Botnet
Computer worm	CERT Coordination Center
Computer worm	Computer Fraud and Abuse Act
Computer worm	Computer network
Computer worm	Computer virus
Computer worm	Cornell University
Computer worm	Denial-of-service attack
Computer worm	Firewall (computing)
Computer worm	Firewall (networking)
Computer worm	Malware
Computer worm	Microsoft
Computer worm	Phishing
Computer worm	Ransomware
Computer worm	Trojan horse (computing)
Computer worm	Zombie (computer science)
