Source	Target
Augustus	Defamation
Augustus	Mark Antony
Augustus	Propaganda
African National Congress	BBC News
African National Congress	Gupta family
African National Congress	South African municipal elections, 2016
Blood libel	CNN
Blood libel	Hamas
Blood libel	Israel
Dartmouth College	CNN
Dartmouth College	Fox News
Dartmouth College	The New York Times
Dartmouth College	U.S. News & World Report
Fox News	ABC News
Fox News	AlterNet
Fox News	CBS News
Fox News	CNN
Fox News	FiveThirtyEight
Fox News	Israel
Fox News	Los Angeles Times
Fox News	Murder of Seth Rich
Fox News	NBC News
Fox News	NPR
Fox News	Sky News
Fox News	Snopes.com
Fox News	The New York Times
Fox News	The Washington Post
Fox News	United States presidential election, 2016
Fox News	Whataboutism
Germany	Allies of World War II
Germany	Augustus
Germany	BBC News
Germany	NATO
Germany	Poland
Germany	Tabloid journalism
Germany	United States
Google Search	BBC News
Google Search	Donald Trump
Google Search	Facebook
Google Search	Fake news (disambiguation)
Google Search	Filter bubble
Google Search	Google
Google Search	Hillary Clinton
Google Search	HuffPost
Google Search	NATO
Google Search	NPR
Google Search	The Daily Telegraph
Google Search	The Guardian
Google Search	The New York Times
Google Search	The Washington Post
Google Search	Twitter
Google Search	Univision Communications
Google Search	World Wide Web
Hong Kong	Allies of World War II
Hong Kong	BBC News
Hong Kong	CNN
Hong Kong	The Daily Beast
Hong Kong	The Daily Telegraph
Hong Kong	The Guardian
Hong Kong	The New York Times
Hong Kong	The Washington Post
Hong Kong	United States
H. G. Wells	Allies of World War II
H. G. Wells	Google
H. G. Wells	Orson Welles
H. G. Wells	Paul Levinson
H. G. Wells	The Daily Telegraph
H. G. Wells	The Guardian
Hamas	Bashar al-Assad
Hamas	BBC News
Hamas	CBS News
Hamas	CNN
Hamas	Hillary Clinton
Hamas	Holocaust denial
Hamas	Israel
Hamas	NPR
Hamas	The Daily Telegraph
Hamas	The Guardian
Hamas	The New York Times
Hamas	United States
Internet	BBC News
Internet	Facebook
Internet	Google
Internet	Google Search
Internet	Instant messaging
Internet	Internet censorship
Internet	Islamic State of Iraq and the Levant
Internet	Israel
Internet	Smartphone
Internet	Social media
Internet	The New York Times
Internet	Tim Berners-Lee
Internet	Twitter
Internet	World Wide Web
Internet troll	BBC News
Internet troll	Critical thinking
Internet troll	Facebook
Internet troll	Fake news website
Internet troll	Hong Kong
Internet troll	Hybrid warfare
Internet troll	Internet censorship in China
Internet troll	Internet
Internet troll	Misinformation
Internet troll	NATO
Internet troll	Snopes.com
Internet troll	The Washington Post
Internet troll	Wired (magazine)
Information security	Internet
Information security	Phishing
Joseph Goebbels	PBS
Joseph Goebbels	President of the United States
Joseph Goebbels	Propaganda
Media bias	ABC News
Media bias	CNN
Media bias	Drudge Report
Media bias	Fox News
Media bias	Israel
Media bias	Journalism ethics and standards
Media bias	Los Angeles Times
Media bias	Mainstream media
Media bias	NPR
Media bias	Propaganda
Media bias	United States
Myanmar	BBC News
Myanmar	CNN
Myanmar	Germany
Myanmar	Hillary Clinton
Myanmar	RT (TV network)
Myanmar	United States
Mark Antony	Augustus
Mark Antony	Disinformation
Mark Antony	Orson Welles
NATO	CBS News
NATO	CNN
NATO	CNNMoney
NATO	Euromaidan
NATO	Islamic State of Iraq and the Levant
NATO	Poland
NATO	The Daily Beast
NATO	The Washington Post
NATO	United States
Orson Welles	H. G. Wells
Orson Welles	Los Angeles Times
Orson Welles	Paul Levinson
Orson Welles	The Guardian
Orson Welles	The New York Times
Orson Welles	The Washington Post
Orson Welles	U.S. News & World Report
Orson Welles	William Randolph Hearst
Poland	BBC News
Poland	Germany
Poland	Google
Poland	Hybrid warfare
