Source	Target
Tokenization (data security)	Data Protection Directive
Tokenization (data security)	Personally identifiable information
Directive (European Union)	List of European Union directives
Directive (European Union)	Regulation (European Union)
Data Protection Commissioner	Article 29 Data Protection Working Party
Data Protection Commissioner	Data Protection Directive
Data Protection Commissioner	General Data Protection Regulation
Information privacy	Commission nationale de l'informatique et des libertés
Information privacy	Data Protection Act 1998
Information privacy	Data Protection Commissioner
Information privacy	Data protection
Information privacy	Data Protection Directive
Information privacy	General Data Protection Regulation
Information privacy	International Safe Harbor Privacy Principles
Information privacy	Personally identifiable information
Data Protection Directive	Article 29 Working Party
Data Protection Directive	Data governance
Data Protection Directive	Data Protection Act 1998
Data Protection Directive	Data protection
Data Protection Directive	General Data Protection Regulation
Data Protection Directive	Information privacy
Data Protection Directive	International Safe Harbor Privacy Principles
Data Protection Directive	Personally identifiable information
Data Protection Directive	Privacy law
Data Protection Directive	Privacy policy
Mass surveillance	Data Protection Act 1998
Mass surveillance	Data Protection Directive
Mass surveillance	General Data Protection Regulation
Mass surveillance	International Safe Harbor Privacy Principles
Data Protection Act 1998	Data Protection Directive
Data Protection Act 1998	General Data Protection Regulation
Regulation (European Union)	Directive (European Union)
Regulation (European Union)	List of European Union directives
Commission nationale de l'informatique et des libertés	General Data Protection Regulation
Commission nationale de l'informatique et des libertés	National data protection authority
Commission nationale de l'informatique et des libertés	Right to be forgotten
Privacy policy	Data Protection Directive
Privacy policy	General Data Protection Regulation
Privacy policy	Information privacy
Privacy policy	International Safe Harbor Privacy Principles
Privacy policy	Personally identifiable information
Privacy policy	Privacy law
List of European Union directives	Data Protection Directive
List of European Union directives	Directive (European Union)
List of European Union directives	General Data Protection Regulation
List of European Union directives	Regulation (European Union)
Personally identifiable information	Data Protection Act 1998
Personally identifiable information	Data Protection Directive
Personally identifiable information	General Data Protection Regulation
Personally identifiable information	Privacy policy
European Parliament Committee on Civil Liberties, Justice and Home Affairs	Information privacy
European Parliament Committee on Civil Liberties, Justice and Home Affairs	Jan Philipp Albrecht
Data protection	Information privacy
Cyber-security regulation	EPrivacy Regulation (European Union)
Cyber-security regulation	General Data Protection Regulation
Cyber-security regulation	Personally identifiable information
International Safe Harbor Privacy Principles	Article 29 Working Party
International Safe Harbor Privacy Principles	Data Protection Commissioner
International Safe Harbor Privacy Principles	Data Protection Directive
International Safe Harbor Privacy Principles	General Data Protection Regulation
International Safe Harbor Privacy Principles	Jan Philipp Albrecht
International Safe Harbor Privacy Principles	Privacy law
International Safe Harbor Privacy Principles	Privacy policy
Privacy law	Commission nationale de l'informatique et des libertés
Privacy law	Data Protection Act 1998
Privacy law	Data Protection Commissioner
Privacy law	Data Protection Directive
Privacy law	Directive 95/46/EC
Privacy law	General Data Protection Regulation
Privacy law	National data protection authority
Privacy law	Personally identifiable information
Privacy law	Right to be forgotten
Danish Data Protection Agency	General Data Protection Regulation
Data governance	Data Protection Directive
Data governance	General Data Protection Regulation
Directive 95/46/EC	Data Protection Directive
Pseudonymization	Personally identifiable information
European Data Protection Supervisor	Article 29 Data Protection Working Party
European Data Protection Supervisor	Data Protection Directive
European Data Protection Supervisor	General Data Protection Regulation
European Data Protection Supervisor	National data protection authority
Privacy and Electronic Communications Directive 2002	Directive (European Union)
Privacy and Electronic Communications Directive 2002	EPrivacy Regulation (European Union)
Privacy and Electronic Communications Directive 2002	General Data Protection Regulation
Data portability	Article 29 Data Protection Working Party
Data portability	European Data Protection Supervisor
Data portability	General Data Protection Regulation
Data portability	Personally identifiable information
Data portability	Right to explanation
GDPR	General Data Protection Regulation
Jan Philipp Albrecht	Article 29 Working Party
Jan Philipp Albrecht	Data protection
Jan Philipp Albrecht	European Parliament Committee on Civil Liberties, Justice and Home Affairs
Jan Philipp Albrecht	General Data Protection Regulation
Jan Philipp Albrecht	Mass surveillance
Article 29 Data Protection Working Party	Data Protection Directive
Article 29 Data Protection Working Party	European Data Protection Supervisor
Article 29 Data Protection Working Party	General Data Protection Regulation
Article 29 Data Protection Working Party	Right to be forgotten
Spanish Data Protection Agency	Directive (European Union)
Spanish Data Protection Agency	General Data Protection Regulation
Spanish Data Protection Agency	Right to be forgotten
Privacy by design	General Data Protection Regulation
General Data Protection Regulation	Article 29 Working Party
General Data Protection Regulation	Data portability
General Data Protection Regulation	Data protection
General Data Protection Regulation	Data Protection Directive
General Data Protection Regulation	Directive 95/46/EC
General Data Protection Regulation	Directive (European Union)
