Source	Target
Advanced Micro Devices	Central processing unit
Advanced Micro Devices	Cool'n'Quiet
Advanced Micro Devices	Dell
Advanced Micro Devices	Hewlett-Packard
Advanced Micro Devices	Intel
Advanced Micro Devices	Solid-state drive
Advanced Micro Devices	The Green Grid
Advanced Micro Devices	VIA Technologies
Advanced Micro Devices	Watt
Advanced Power Management	Active State Power Management
Advanced Power Management	Advanced Configuration and Power Interface
Advanced Power Management	BIOS
Advanced Power Management	Green computing
Advanced Power Management	Intel
Advanced Power Management	Power management
BIOS	Advanced Configuration and Power Interface
BIOS	Advanced Micro Devices
BIOS	Central processing unit
BIOS	Dell
BIOS	Hewlett-Packard
BIOS	Intel
BIOS	Power management
Central processing unit	CPU power dissipation
Central processing unit	Intel
Central processing unit	Mainframe computer
Central processing unit	Supercomputer
China	Supercomputer
Cathode ray tube	Electronic waste
Cathode ray tube	Energy Star
Cathode ray tube	Recycling
Cathode ray tube	United States Environmental Protection Agency
Intel	Advanced Micro Devices
Intel	Central processing unit
Intel	Dell
Intel	Hewlett-Packard
Intel	LatencyTOP
Intel	Low-power electronics
Intel	Mainframe computer
Intel	PowerTOP
Intel	Solid-state drive
Intel	Supercomputer
Intel	Transmeta
Intel	VIA Technologies
Light-emitting diode	Energy conservation
Light-emitting diode	Hewlett-Packard
Light-emitting diode	Watt
Mainframe computer	Central processing unit
Mainframe computer	Hewlett-Packard
Mainframe computer	Supercomputer
Thin client	Server farm
Thin client	Time-sharing
Time-sharing	Desktop computer
Time-sharing	Hewlett-Packard
Time-sharing	Mainframe computer
Supercomputer	Central processing unit
Supercomputer	Computer cooling
Supercomputer	CPU power dissipation
Supercomputer	Dell
Supercomputer	Green computing
Supercomputer	Hewlett-Packard
Supercomputer	Intel
Supercomputer	Performance per watt
Supercomputer	Watt
Power factor	80 Plus
Power factor	Energy Star
Power factor	United States Environmental Protection Agency
Power factor	Watt
Desktop computer	Central processing unit
Desktop computer	CPU power dissipation
Desktop computer	Dell
Desktop computer	Green computing
Desktop computer	Hewlett-Packard
Desktop computer	Intel
Desktop computer	Mainframe computer
United States Environmental Protection Agency	Energy Star
United States Environmental Protection Agency	Light-emitting diode
United States Environmental Protection Agency	Power management
United States Environmental Protection Agency	Standby power
Recycling	United States Environmental Protection Agency
Recycling	Waste Electrical and Electronic Equipment Directive
Dell	Advanced Micro Devices
Dell	Desktop computer
Dell	Hewlett-Packard
Dell	Intel
Dell	PC power management
Dell	Recycling
Dell	Thin client
Transmeta	Advanced Micro Devices
Transmeta	Desktop computer
Transmeta	Intel
Transmeta	LongRun
CPU power dissipation	Advanced Configuration and Power Interface
CPU power dissipation	Advanced Micro Devices
CPU power dissipation	Central processing unit
CPU power dissipation	Computer cooling
CPU power dissipation	Desktop computer
CPU power dissipation	Green computing
CPU power dissipation	IT energy management
CPU power dissipation	Low-power electronics
CPU power dissipation	Performance per watt
CPU power dissipation	Power management
CPU power dissipation	Watt
VIA Technologies	Apollo VP3
VIA Technologies	Central processing unit
VIA Technologies	Intel
Server farm	Computer cooling
Server farm	Data center infrastructure efficiency
Server farm	Green computing
