Source	Target
Human rights	Freedom of speech
Human rights	Fundamental rights
Human rights	United States Constitution
Internet	Freedom of speech
Internet	Google
Internet	The New York Times
The New York Times	Freedom of speech
United States Constitution	Freedom of speech
Integrity	Accountability
Accountability	Right to be forgotten
Business intelligence	Regulatory compliance
Information privacy	Commission nationale de l'informatique et des libertés
Information privacy	Data Protection Directive
Information privacy	General Data Protection Regulation
Information privacy	International Safe Harbor Privacy Principles
Data Protection Directive	Article 29 Working Party
Data Protection Directive	EU-US Privacy Shield
Data Protection Directive	General Data Protection Regulation
Data Protection Directive	Information privacy
Data Protection Directive	International Safe Harbor Privacy Principles
Data Protection Directive	Privacy law
Data Protection Directive	United States Constitution
Right to privacy	Freedom of speech
Right to privacy	Human rights
Right to privacy	Right to be forgotten
Right to privacy	United States Constitution
Google Groups	Google
Google Groups	Right to be forgotten
RTBF	Right to be forgotten
Freedom of speech in the United States	Freedom of speech
Freedom of speech in the United States	Internet
Freedom of speech in the United States	United States Constitution
Memory hole	Right to be forgotten
Memory hole	The New York Times
Commission nationale de l'informatique et des libertés	General Data Protection Regulation
Commission nationale de l'informatique et des libertés	Google
Commission nationale de l'informatique et des libertés	Right to be forgotten
Google	Censorship by Google
Google	Google Groups
Google	Internet
Google	Internet privacy
Google	Privacy concerns regarding Google
Google	The New York Times
Internet privacy	Data Protection Directive
Internet privacy	Digital privacy
Internet privacy	Google
Internet privacy	Internet
Internet privacy	Privacy law
Internet privacy	Right to be forgotten
Regulatory compliance	Right to be forgotten
Fundamental rights	Freedom of expression
Fundamental rights	Freedom of speech
Fundamental rights	Right to privacy
Rehabilitation of Offenders Act 1974	Right to be forgotten
International Safe Harbor Privacy Principles	Article 29 Working Party
International Safe Harbor Privacy Principles	Data Protection Directive
International Safe Harbor Privacy Principles	EU-US Privacy Shield
International Safe Harbor Privacy Principles	General Data Protection Regulation
International Safe Harbor Privacy Principles	Max Schrems
International Safe Harbor Privacy Principles	Privacy law
Jimmy Wales	Google
Jimmy Wales	Integrity
Jimmy Wales	RTBF
Jimmy Wales	The New York Times
Jimmy Wales	Wikipedia
Jennifer Granick	Privacy law
Wikipedia	Accountability
Wikipedia	Google
Wikipedia	Internet
Wikipedia	Jimmy Wales
Wikipedia	Right to privacy
Wikipedia	The New York Times
Privacy law	Commission nationale de l'informatique et des libertés
Privacy law	Data Protection Directive
Privacy law	General Data Protection Regulation
Privacy law	Right to be forgotten
Censorship by Google	Censorship
Censorship by Google	Google
Censorship by Google	Right to be forgotten
Censorship	Freedom of expression
Censorship	Freedom of speech
Censorship	Human rights
Censorship	Wikipedia
Dejan Lazić	Right to be forgotten
Dejan Lazic	Dejan Lazić
Streisand effect	Internet
Streisand effect	Right to be forgotten
Freedom of speech	Censorship
Freedom of speech	Internet
Freedom of speech	Right to be forgotten
Freedom of speech	Right to privacy
Freedom of speech	The New York Times
Consumer Watchdog	Google
Consumer Watchdog	Right to be forgotten
Article 29 Data Protection Working Party	Data Protection Directive
Article 29 Data Protection Working Party	General Data Protection Regulation
Article 29 Data Protection Working Party	Right to be forgotten
The Red Kimono	Right to be forgotten
Freedom of expression	Freedom of speech
Digital privacy	Internet privacy
Digital privacy	Privacy concerns with social networking services
Spanish Data Protection Agency	General Data Protection Regulation
Spanish Data Protection Agency	Google
Spanish Data Protection Agency	Right to be forgotten
Privacy concerns with social networking services	Information privacy
Privacy concerns with social networking services	Internet privacy
Privacy concerns with social networking services	Right to be forgotten
General Data Protection Regulation	Article 29 Working Party
General Data Protection Regulation	Data Protection Directive
General Data Protection Regulation	Google Spain v AEPD and Mario Costeja González
General Data Protection Regulation	Right to be forgotten
Revenge porn	Google
Revenge porn	Privacy law
Right to be forgotten	Accountability
Right to be forgotten	Article 29 Working Party
Right to be forgotten	Business intelligence
Right to be forgotten	Censorship
Right to be forgotten	Data Protection Directive
Right to be forgotten	Dato Capital
Right to be forgotten	Dejan Lazic
Right to be forgotten	Digital privacy
Right to be forgotten	EU-US Privacy Shield
Right to be forgotten	Freedom of expression
Right to be forgotten	Freedom of speech
Right to be forgotten	Freedom of speech in the United States
Right to be forgotten	Fundamental rights
Right to be forgotten	General Data Protection Regulation
Right to be forgotten	Google
Right to be forgotten	Google Spain v AEPD and Mario Costeja González
Right to be forgotten	Google v González
Right to be forgotten	Human rights
Right to be forgotten	Information privacy
Right to be forgotten	Integrity
Right to be forgotten	International Safe Harbor Privacy Principles
Right to be forgotten	Internet
Right to be forgotten	Internet privacy
Right to be forgotten	Jennifer Granick
Right to be forgotten	Jimmy Wales
Right to be forgotten	Martin v. Hearst Corporation
Right to be forgotten	Max Schrems
Right to be forgotten	Melvin v. Reid
Right to be forgotten	Memory hole
Right to be forgotten	Rehabilitation of Offenders Act 1974
Right to be forgotten	Revenge porn
Right to be forgotten	Right to disconnect
Right to be forgotten	Right to privacy
Right to be forgotten	Streisand effect
Right to be forgotten	The New York Times
Right to be forgotten	The Red Kimono
Right to be forgotten	Tiziana Cantone
Right to be forgotten	United States Constitution
Right to be forgotten	Wikipedia
Google Spain v AEPD and Mario Costeja González	Article 29 Working Party
Google Spain v AEPD and Mario Costeja González	Bodil Lindqvist v Åklagarkammaren i Jönköping
Google Spain v AEPD and Mario Costeja González	Consumer Watchdog
Google Spain v AEPD and Mario Costeja González	Data Protection Directive
Google Spain v AEPD and Mario Costeja González	General Data Protection Regulation
Google Spain v AEPD and Mario Costeja González	Google
Google Spain v AEPD and Mario Costeja González	Jimmy Wales
Google Spain v AEPD and Mario Costeja González	Melvin v. Reid
Google Spain v AEPD and Mario Costeja González	Right to be forgotten
Google Spain v AEPD and Mario Costeja González	Spanish Data Protection Agency
Google Spain v AEPD and Mario Costeja González	Streisand effect
Melvin v. Reid	Right to be forgotten
Google v González	Google Spain v AEPD and Mario Costeja González
Bodil Lindqvist v Åklagarkammaren i Jönköping	Data Protection Directive
Bodil Lindqvist v Åklagarkammaren i Jönköping	Google Spain v AEPD and Mario Costeja González
Bodil Lindqvist v Åklagarkammaren i Jönköping	Right to be forgotten
Max Schrems	Google Spain v AEPD and Mario Costeja González
Max Schrems	International Safe Harbor Privacy Principles
Martin v. Hearst Corporation	Right to be forgotten
Dato Capital	Google
Dato Capital	Jimmy Wales
Dato Capital	Right to be forgotten
Privacy concerns regarding Google	Consumer Watchdog
Privacy concerns regarding Google	Data Protection Directive
Privacy concerns regarding Google	Google
Privacy concerns regarding Google	Google Spain v AEPD and Mario Costeja González
Privacy concerns regarding Google	Right to be forgotten
Privacy concerns regarding Google	The New York Times
EU-US Privacy Shield	Article 29 Data Protection Working Party
EU-US Privacy Shield	International Safe Harbor Privacy Principles
EU-US Privacy Shield	Max Schrems
EU-US Privacy Shield	Privacy law
Article 29 Working Party	Article 29 Data Protection Working Party
Right to disconnect	Right to be forgotten
Tiziana Cantone	Right to be forgotten
