Id	Score
Computer security	514.16667
Information security	24.16667
Internet	21.83333
Vulnerability (computing)	19.5
Malware	19.16667
Outline of computer security	18.16667
Authentication	14.5
Firewall (computing)	13.83333
Threat (computer)	13.83333
Rootkit	13.16667
Password	12.83333
Trojan horse (computing)	12.16667
Access control	11.83333
Attack (computing)	10.83333
Cyberwarfare	10.16667
Exploit (computer security)	9.83333
Social engineering (security)	9.83333
Security engineering	9.5
Antivirus software	9.33333
Cryptography	7.66667
Computer virus	7.66667
Security	7.5
Principle of least privilege	7.5
Computer science	7.33333
Computer	7.33333
Authorization	7.16667
System administrator	7.16667
Computer emergency response team	6.83333
Stuxnet	6.66667
Bruce Schneier	6.5
Advanced persistent threat	6.5
Man-in-the-middle attack	6.33333
Spyware	6.0
Countermeasure (computer)	5.83333
Instant messaging	5.5
Identity management	5.5
Network security	5.33333
Privilege escalation	5.33333
Comparison of antivirus software	5.33333
Common Criteria	5.16667
Capability-based security	5.16667
Data security	5.16667
Computer network	5.0
Physical security	4.83333
Hacktivism	4.83333
Trusted Computer System Evaluation Criteria	4.83333
Cloud computing	4.66667
Cyberspace	4.5
McAfee	4.5
Cyber security standards	4.5
Internet security	4.33333
Linux	4.33333
IT risk	4.33333
User (computing)	4.33333
Linux kernel	4.33333
Full disclosure (computer security)	4.16667
Honeypot (computing)	4.16667
Cyberterrorism	4.16667
Secure by design	4.16667
Denial-of-service attack	4.0
Information privacy	4.0
Penetration test	4.0
Ransomware	4.0
CERT Coordination Center	3.83333
Intrusion detection system	3.66667
Cross-site scripting	3.66667
Backdoor (computing)	3.66667
Phishing	3.66667
Internet privacy	3.66667
Facebook	3.66667
Clickjacking	3.66667
Buffer overflow	3.33333
Free software	3.33333
Internet Explorer	3.33333
National Security Agency	3.33333
Operating system	3.33333
Secure Shell	3.33333
Cybercrime	3.33333
Personal computer	3.33333
Cyberattack	3.33333
Kevin Mitnick	3.16667
Sandbox (computer security)	3.16667
Login	3.16667
Microsoft	3.0
Computer insecurity	3.0
Keystroke logging	3.0
Smart card	3.0
Proxy server	3.0
Windows 7	3.0
Disk encryption	3.0
Proactive cyber defence	3.0
Edward Snowden	3.0
Attack tree	2.83333
Java (programming language)	2.66667
Peer-to-peer	2.66667
Firmware	2.66667
Symantec	2.66667
Cybersecurity	2.66667
Security bug	2.66667
Kaspersky Lab	2.66667
List of computer security certifications	2.5
Data Encryption Standard	2.33333
Microkernel	2.33333
Automated teller machine	2.33333
Secure cryptoprocessor	2.33333
Vulnerability scanner	2.33333
National security	2.33333
SRI International	2.33333
Botnet	2.33333
Internet of things	2.33333
Anonymous (group)	2.33333
Attack surface	2.16667
Cloud computing security	2.16667
Content Disarm & Reconstruction	2.16667
Advanced Encryption Standard	2.0
Bluetooth	2.0
Software	2.0
Cryptanalysis	2.0
Encryption	2.0
Multics	2.0
SANS Institute	2.0
Windows XP	2.0
X86	2.0
Superuser	2.0
Application software	2.0
Zombie (computer science)	2.0
Sophos	2.0
Equifax	2.0
Information technology security audit	2.0
Trusted Platform Module	2.0
Computer security model	2.0
Cyber security	2.0
Cyber-security regulation	2.0
Defense in depth (computing)	2.0
United States Cyber Command	2.0
Vulnerability management	2.0
User behavior analytics	2.0
Cyber self-defense	2.0
Gene Spafford	1.83333
Dancing pigs	1.83333
Open port	1.83333
L. Jean Camp	1.83333
Content Security Policy	1.83333
Information security awareness	1.83333
Computer worm	1.66667
Risk management	1.66667
Spreadsheet	1.66667
Telnet	1.66667
Turing Award	1.66667
Process (computing)	1.66667
File Transfer Protocol	1.66667
Ross J. Anderson	1.66667
