Id	LoopRank
Algorithmic bias	53.91667
Machine learning	49.0
Artificial intelligence	23.66667
Ethics of artificial intelligence	6.25
Google	6.08333
Internet of things	2.58333
Algorithm	2.0
Facebook	2.0
Cybernetics	2.0
Complex system	1.75
Bias	1.58333
Apple Inc.	1.5
Database	1.25
Social science	1.25
IBM	1.25
Ground truth	1.08333
Computer science	1.0
Cambridge, Massachusetts	1.0
Ubiquitous computing	1.0
Credit score	1.0
Bing (search engine)	1.0
Google Play	1.0
Joseph Weizenbaum	0.83333
Information theory	0.75
Statistics	0.75
Web crawler	0.75
Amazon (company)	0.75
Learning	0.75
Tag (metadata)	0.75
Microsoft Research	0.75
Web search engine	0.75
Computer	0.75
Data	0.75
Control theory	0.5
Complexity	0.5
Computer security	0.5
Hierarchy	0.5
Logic programming	0.5
Supervised learning	0.5
Artificial neural network	0.5
Data mining	0.5
Fuzzy logic	0.5
List of cognitive biases	0.5
Artificial general intelligence	0.5
LinkedIn	0.5
Turnitin	0.5
Computer Power and Human Reason	0.5
Random number generation	0.5
Algorithm characterizations	0.5
Global catastrophic risk	0.5
Siri	0.5
Big data	0.5
History of gay men in the United States	0.5
General Data Protection Regulation	0.5
Convolutional neural network	0.5
Automation bias	0.5
Glossary of artificial intelligence	0.5
Bell Labs	0.25
Cognitive science	0.25
Cyc	0.25
Data compression	0.25
Expected value	0.25
Immune system	0.25
Mathematical model	0.25
Probability	0.25
Do Androids Dream of Electric Sheep?	0.25
Random variable	0.25
Spreadsheet	0.25
Wiki	0.25
Automated teller machine	0.25
Optical character recognition	0.25
Bayesian inference	0.25
Inductive logic programming	0.25
Three Laws of Robotics	0.25
Support vector machine	0.25
Reinforcement learning	0.25
Synonym	0.25
Logistic function	0.25
Naive Bayes classifier	0.25
Creativity	0.25
Case-based reasoning	0.25
Perceptron	0.25
Soft computing	0.25
Bayesian network	0.25
Risk assessment	0.25
Logistic regression	0.25
Computer Go	0.25
CAPTCHA	0.25
Unsupervised learning	0.25
University of Alberta	0.25
Outline of academic disciplines	0.25
Self-organization	0.25
Local search (optimization)	0.25
Text mining	0.25
Theoretical computer science	0.25
Cognitive model	0.25
Computational learning theory	0.25
Ray Solomonoff	0.25
Neats and scruffies	0.25
Analytics	0.25
Geoffrey Hinton	0.25
Santa Fe Institute	0.25
Gmail	0.25
Decision tree learning	0.25
Gold standard (test)	0.25
Automatic differentiation	0.25
Intelligent control	0.25
Regression analysis	0.25
Computational sociology	0.25
Gene expression programming	0.25
Markov decision process	0.25
No free lunch in search and optimization	0.25
Machine Learning	0.25
Statistical classification	0.25
Weak AI	0.25
Cognitive architecture	0.25
MapReduce	0.25
Feedforward neural network	0.25
Clay Shirky	0.25
Synthetic intelligence	0.25
Intelligent agent	0.25
Data analysis	0.25
Unstructured data	0.25
Mark Zuckerberg	0.25
AI winter	0.25
Predictive analytics	0.25
Google Calendar	0.25
Google Docs, Sheets, and Slides	0.25
Machine Learning (journal)	0.25
Social media	0.25
Arthur Samuel	0.25
Alternating decision tree	0.25
Robot rights	0.25
Data portability	0.25
GenieKnows	0.25
Device fingerprint	0.25
Media monitoring	0.25
Turing test	0.25
Vertica	0.25
Kinect	0.25
Yann LeCun	0.25
Clark Glymour	0.25
Sepp Hochreiter	0.25
Machine ethics	0.25
Deep learning	0.25
Tom M. Mitchell	0.25
Google Drive	0.25
Theano (software)	0.25
Twitch.tv	0.25
Nest Labs	0.25
Algorithms	0.25
EdgeRank	0.25
Google APIs	0.25
Vicarious (company)	0.25
Google Cloud Platform	0.25
Torch (machine learning)	0.25
Future of Life Institute	0.25
Google Play Books	0.25
Google Play Newsstand	0.25
Deeplearning4j	0.25
Vanishing gradient problem	0.25
Google Photos	0.25
Digital twin	0.25
TensorFlow	0.25
AlphaGo	0.25
Seppo Linnainmaa	0.25
Google Home	0.25
Google Allo	0.25
Self-organization in cybernetics	0.25
Right to explanation	0.25
Right to an explanation	0.25
