Id	LoopRank
General Data Protection Regulation	104.0
Data Protection Directive	35.83333
Information privacy	19.91667
Right to be forgotten	17.66667
Personally identifiable information	12.58333
National data protection authority	10.5
Privacy	9.5
Jan Philipp Albrecht	8.91667
Privacy law	8.08333
Privacy by design	8.0
International Safe Harbor Privacy Principles	7.66667
Data Protection Act 1998	7.58333
Google Spain v AEPD and Mario Costeja González	7.58333
Mass surveillance	6.58333
Privacy policy	6.58333
Tokenization (data security)	6.41667
Internet privacy	5.0
Pseudonymization	4.83333
Privacy International	4.75
Data portability	4.58333
European Parliament Committee on Civil Liberties, Justice and Home Affairs	3.91667
European Data Protection Supervisor	3.83333
Right to explanation	3.66667
Article 29 Data Protection Working Party	3.41667
EPrivacy Regulation (European Union)	3.41667
Data Protection Commissioner	3.33333
List of European Union directives	3.16667
Data protection	2.83333
European Union	2.5
EU-US Privacy Shield	2.5
Commission nationale de l'informatique et des libertés	2.33333
Directive 95/46/EC	2.33333
Information sensitivity	2.25
Data governance	2.08333
European Commission	2.0
Information security	2.0
Information privacy law	2.0
Directive (European Union)	1.83333
Spanish Data Protection Agency	1.66667
Regulation (European Union)	1.58333
Microsoft	1.5
Personal information management	1.5
Information Commissioner's Office	1.5
Bundesdatenschutzgesetz	1.5
Article 29 Working Party	1.33333
Council of the European Union	1.25
Věra Jourová	1.25
Digital Single Market	1.25
Cyber-security regulation	1.08333
NIS Directive	1.08333
Privacy Act of 1974	1.0
Agencies of the European Union	1.0
European Union Agency for Network and Information Security	1.0
Terrorist Finance Tracking Program	1.0
Privacy-enhancing technologies	1.0
Edward Snowden	1.0
Max Schrems	1.0
EIDAS	1.0
Data Act (Sweden)	1.0
Data mining	0.75
Consumer privacy	0.75
Europol	0.75
HTTP cookie	0.75
Swedish Data Protection Authority	0.75
Information commissioner	0.5
Machine learning	0.5
European Commissioner	0.5
Medical record	0.5
Electronic health record	0.5
Mutual legal assistance treaty	0.5
Electronic Frontier Foundation	0.5
Data	0.5
Big data	0.5
Safe harbor (law)	0.5
Data Protection (Jersey) Law	0.5
Federal Data Protection and Information Commissioner	0.5
Bodil Lindqvist v Åklagarkammaren i Jönköping	0.5
Juncker Commission	0.5
Privacy engineering	0.5
Surveillance capitalism	0.5
Algorithmic bias	0.5
Danish Data Protection Agency	0.33333
Privacy and Electronic Communications Directive 2002	0.33333
GDPR	0.33333
Algorithm	0.25
Benelux	0.25
Alliance of Liberals and Democrats for Europe Party	0.25
Latvia	0.25
Lithuania	0.25
World Wide Web	0.25
Cut, copy, and paste	0.25
Right to privacy	0.25
Outline of the European Union	0.25
Fair Credit Reporting Act	0.25
Center for Democracy and Technology	0.25
Google	0.25
Andrus Ansip	0.25
Credit bureau	0.25
Jennifer Granick	0.25
European Digital Rights	0.25
Payment Card Industry Data Security Standard	0.25
List of European Commissioners by nationality	0.25
Office of the Data Protection Supervisor	0.25
Smart city	0.25
Schengen Area	0.25
Data masking	0.25
Wikimedia Foundation	0.25
Information	0.25
Federal Commissioner for Data Protection and Freedom of Information	0.25
Streisand effect	0.25
Consumer Watchdog	0.25
List of European Commission portfolios	0.25
Employment discrimination law in the European Union	0.25
Digital privacy	0.25
Personal data	0.25
De-identification	0.25
Revenge porn	0.25
ANO 2011	0.25
Melvin v. Reid	0.25
Google v González	0.25
Elizabeth Denham	0.25
Spanish Agency of data protection	0.25
Commission Nationale de l'Informatique et des Libertés	0.25
Crypto-shredding	0.25
NOYB – European Center for Digital Rights	0.25
