Id	LoopRank
Green computing	621.91667
Desktop computer	87.66667
Supercomputer	86.83333
Power management	66.58333
Energy Star	48.5
Advanced Configuration and Power Interface	47.75
Performance per watt	44.5
Intel	38.33333
Sleep mode	38.08333
Standby power	35.08333
Hibernation (computing)	32.83333
Low-power electronics	29.66667
Electronic waste	27.08333
80 Plus	25.5
Dell	24.91667
Energy conservation	24.08333
BIOS	23.91667
Advanced Micro Devices	23.08333
Central processing unit	22.91667
PC power management	22.41667
CPU power dissipation	21.75
Efficient energy use	20.25
Personal computer	20.0
Advanced Power Management	19.75
Restriction of Hazardous Substances Directive	17.75
Computer cooling	17.16667
Solid-state drive	16.83333
Climate Savers Computing Initiative	16.08333
Waste Electrical and Electronic Equipment Directive	15.83333
United States Environmental Protection Agency	15.75
Hewlett-Packard	15.58333
Server farm	15.41667
Microsoft	14.75
The Green Grid	14.33333
Sun Microsystems	14.25
SpeedStep	13.75
Power usage effectiveness	13.16667
Graphics processing unit	12.25
IBM	11.5
Data center infrastructure efficiency	10.91667
Mainframe computer	10.83333
IT energy management	10.83333
Thunderbolt (interface)	10.08333
Business intelligence	10.0
Silicon Valley Toxics Coalition	10.0
Faronics	9.91667
Timer coalescing	9.58333
Data center	9.5
Linux	9.5
Transmeta	9.08333
Thin client	8.58333
VIA Technologies	8.58333
Video card	8.5
Virtualization	8.5
Light-emitting diode	8.33333
PowerTOP	8.33333
Green chemistry	8.08333
Fujitsu Siemens Computers	7.58333
Recycling	7.33333
Computer recycling	7.25
X86 virtualization	7.0
California Electronic Waste Recycling Act	6.91667
X86	6.75
Cool'n'Quiet	6.58333
Cathode ray tube	6.41667
LongHaul	6.41667
Active State Power Management	6.41667
Computer	6.0
Power factor	5.91667
SPECpower	5.66667
Time-sharing	5.58333
Software	5.5
EDay	5.33333
Microprocessor	5.25
Hard disk drive performance characteristics	5.25
Information technology	5.25
Battery recycling	5.08333
Computer appliance	4.83333
PowerNow!	4.75
Watt	4.58333
LatencyTOP	4.58333
Hard disk drive	4.5
Fujitsu	4.5
PCI Express	4.5
Boston College	4.5
Information and communication technologies for development	4.5
Minimalism (computing)	4.5
Random-access memory	4.5
Sustainable Electronics Initiative	4.33333
Fusion-io	4.25
Microsoft Windows	4.0
Laptop	4.0
Energy-Efficient Ethernet	3.66667
China	3.58333
LongRun	3.58333
1E	3.58333
Electronics	3.5
Pakistan	3.5
Nvidia	3.5
Tsubame (supercomputer)	3.33333
Apple Inc.	3.25
Operating system	3.25
Data migration	3.25
Windows Vista	3.25
Arm Holdings	3.25
Green Electronics Council	3.16667
Plug computer	3.08333
Apollo VP3	3.08333
Algorithmic efficiency	3.0
Quiet PC	3.0
VMmark	3.0
Linux kernel	3.0
Challenging the Chip	2.83333
Rebound effect (conservation)	2.83333
University of Michigan	2.75
One Watt Initiative	2.75
Computer hardware	2.75
Online shopping	2.58333
Digger gold	2.58333
Integrated circuit	2.5
Windows XP	2.5
George W. Bush	2.5
Computer technology for developing areas	2.5
Active cable	2.33333
Motherboard	2.25
Lenovo	2.25
Electronic Product Environmental Assessment Tool	2.16667
IEEE 1680	2.16667
Moore's law	2.0
Cold cathode	2.0
Ecological footprint	2.0
Linux Terminal Server Project	2.0
Tablet computer	2.0
Desktop virtualization	2.0
Power supply unit (computer)	2.0
Computational sustainability	2.0
Electronic waste by country	2.0
CompTIA	2.0
USB	1.75
Wake-on-LAN	1.75
Optical interconnect	1.75
Comparison of power management software suites	1.75
Green500	1.58333
SPECvirt	1.58333
Oracle Corporation	1.5
Booting	1.5
Server (computing)	1.5
Microcomputer	1.5
CMOS	1.5
Optical communication	1.5
Pentium 4	1.5
X86-64	1.5
Compact fluorescent lamp	1.5
Group Policy	1.5
CPU core voltage	1.5
Leadership in Energy and Environmental Design	1.5
Virtual application	1.5
Mercury (element)	1.5
Mobile phone	1.5
Intel Turbo Boost	1.5
Big data	1.5
Parallel optical interface	1.33333
Computing	1.25
Printer (computing)	1.25
Internet	1.25
Lead	1.25
Solaris (operating system)	1.25
Flash memory	1.25
Toshiba	1.25
Parallel computing	1.25
Athlon 64	1.25
Environmental technology	1.25
Athlon 64 X2	1.25
Interconnect bottleneck	1.25
Facebook	1.25
TOP500	1.25
Dynamic frequency scaling	1.25
Sustainability	1.25
E-cycling	1.25
Resource consumption	1.25
Green information system	1.08333
Computer data storage	1.0
Compaq	1.0
Electrical engineering	1.0
Itanium	1.0
Linux distribution	1.0
Teleconference	1.0
List of Intel microprocessors	1.0
ARM architecture	1.0
Printed circuit board	1.0
FLOPS	1.0
System on a chip	1.0
HyperTransport	1.0
ATI Technologies	1.0
Consumer electronics	1.0
Landfill	1.0
Citrix Systems	1.0
OpenMP	1.0
NEC	1.0
Acer Inc.	1.0
Sempron	1.0
CPU cache	1.0
Extended producer responsibility	1.0
OpenSolaris	1.0
Hypervisor	1.0
General-purpose computing on graphics processing units	1.0
Information Systems Examination Board	1.0
Embarrassingly parallel	1.0
Intel vPro	1.0
List of computer system manufacturers	1.0
Dynamic voltage scaling	1.0
Intel Atom	1.0
Electronic Data Systems	1.0
Windows 8	1.0
Desktop sharing	0.83333
Artificial intelligence	0.75
Accelerated Graphics Port	0.75
Enterprise resource planning	0.75
Free software	0.75
Germany	0.75
Nintendo	0.75
Conventional PCI	0.75
Television	0.75
Windows 2000	0.75
Vector processor	0.75
United States Department of Energy	0.75
Workstation	0.75
List of environmental issues	0.75
Overclocking	0.75
Non-renewable resource	0.75
Power supply	0.75
High-performance computing	0.75
Blade server	0.75
Jevons paradox	0.75
Massachusetts	0.75
Benchmark (computing)	0.75
Utility computing	0.75
Start menu	0.75
Unified EFI Forum	0.75
Negawatt power	0.75
Energy consumption	0.75
Alliance to Save Energy	0.75
Battery Directive	0.75
FreeBSD	0.75
Average CPU power	0.75
Associated Press	0.75
Phenom II	0.75
X86 architecture	0.75
Index of environmental articles	0.75
Xbox One	0.75
Asus	0.75
Energy proportional computing	0.75
HP Inc.	0.75
AMD Turbo Core	0.75
Basel Convention	0.5
Computer programming	0.5
Computer program	0.5
C (programming language)	0.5
Hard drive	0.5
Java (programming language)	0.5
Light pollution	0.5
Linux operating system	0.5
MIPS architecture	0.5
Microsoft Office	0.5
Instructions per second	0.5
National Security Agency	0.5
Personal digital assistant	0.5
PlayStation 3	0.5
Russia	0.5
Reduced instruction set computer	0.5
Silicon Graphics	0.5
Sustainable development	0.5
Terabyte	0.5
Vermont	0.5
2010s	0.5
Cray-1	0.5
Uninterruptible power supply	0.5
Instruction set architecture	0.5
Carnegie Mellon University	0.5
SIMD	0.5
Control Data Corporation	0.5
CDC 6600	0.5
Panasonic	0.5
Blue Gene	0.5
64-bit computing	0.5
Siemens	0.5
Scalability	0.5
Lighting	0.5
Windows Server 2003	0.5
Underclocking	0.5
VxD	0.5
Rootkit	0.5
Information system	0.5
Michigan State University	0.5
Windows Driver Model	0.5
Power Mac G5	0.5
E-waste	0.5
Fuel efficiency	0.5
ATX	0.5
Wii	0.5
Network-attached storage	0.5
Windows 9x	0.5
Analytics	0.5
Southbridge (computing)	0.5
CPU socket	0.5
Mobile computing	0.5
Broadcom	0.5
Street light	0.5
Unified Extensible Firmware Interface	0.5
Ubuntu (operating system)	0.5
Alienware	0.5
Advanced Host Controller Interface	0.5
AC adapter	0.5
Hard disk drives	0.5
Gigabyte Technology	0.5
Docking station	0.5
Web conferencing	0.5
List of European Union directives	0.5
Mark Hurd	0.5
Sun Ray	0.5
Passive house	0.5
Free and open-source graphics device driver	0.5
IOPS	0.5
DisplayPort	0.5
UltraSPARC T1	0.5
Advanced Programmable Interrupt Controller	0.5
Apple–Intel architecture	0.5
Storage virtualization	0.5
Soil contamination	0.5
Undervolting	0.5
Computer repair technician	0.5
Global warming	0.5
Centralized computing	0.5
Application virtualization	0.5
Optical link	0.5
Windows Vista I/O technologies	0.5
List of waste management acronyms	0.5
Camara (social enterprise)	0.5
Energy in the United States	0.5
Linux Foundation	0.5
Israel	0.5
LED lamp	0.5
Legacy Plug and Play	0.5
CRT monitor	0.5
AMD Phenom	0.5
Optical fiber cable	0.5
Larrabee (microarchitecture)	0.5
AMD FireStream	0.5
Green IT	0.5
MacBook Air	0.5
Miscellaneous electric load	0.5
Computer graphics	0.5
Computer cluster	0.5
Battery (electricity)	0.5
Energy use in the United States	0.5
Nettop	0.5
Call2Recycle	0.5
Dynamic provisioning environment	0.5
Computer architecture	0.5
Market share of personal computer vendors	0.5
Green retrofit	0.5
Data center infrastructure management	0.5
Electronic waste in New Zealand	0.5
Sumir Karayi	0.5
E-Stewards	0.5
Wii U	0.5
Ultrabook	0.5
PlayStation 4	0.5
Classes of computers	0.5
Aggressive Link Power Management	0.5
NVDIMM	0.5
Camara (charity)	0.5
OS X Mavericks	0.5
Surface Pro 3	0.5
Microsoft HoloLens	0.5
RAM	0.5
Energy Efficient Ethernet	0.33333
Green Information Technology	0.33333
Algorithm	0.25
Apple I	0.25
Accumulator (computing)	0.25
Bluetooth	0.25
Chemistry	0.25
Chemist	0.25
Carbon dioxide	0.25
Cycling	0.25
Cache (computing)	0.25
Customer relationship management	0.25
Processor design	0.25
Data warehouse	0.25
Decibel	0.25
Data structure	0.25
Digital video	0.25
Frequency modulation	0.25
Ivy League	0.25
Industrial espionage	0.25
Motorola	0.25
Ottawa	0.25
Programming language	0.25
Seek time	0.25
Streaming media	0.25
Speed of light	0.25
Solder	0.25
Software testing	0.25
Tin	0.25
Website	0.25
Oak Ridge National Laboratory	0.25
Network switch	0.25
Non-uniform memory access	0.25
Data mining	0.25
Globalization	0.25
Polyurethane	0.25
Grid computing	0.25
Computer engineering	0.25
Fremont, California	0.25
United States Census Bureau	0.25
Boston University	0.25
Weatherization	0.25
Computer display standard	0.25
Windows 98	0.25
Convex Computer	0.25
Computing platform	0.25
Thinking Machines Corporation	0.25
List of IBM products	0.25
National Science Foundation Network	0.25
Remote control	0.25
Livermore, California	0.25
Megaflops	0.25
IWarp	0.25
InfiniBand	0.25
Gallium arsenide	0.25
Heat exchanger	0.25
Low-voltage differential signaling	0.25
System administrator	0.25
Pentium III	0.25
Pentium Pro	0.25
Laboratory	0.25
Wang Laboratories	0.25
Apollo Computer	0.25
Wireless	0.25
Sybase	0.25
Open Firmware	0.25
Cray	0.25
Self-modifying code	0.25
Message Passing Interface	0.25
Flynn's taxonomy	0.25
Ayub Khan (President of Pakistan)	0.25
Open Source Development Labs	0.25
Unix File System	0.25
Thermostat	0.25
Efficiency	0.25
Australian National University	0.25
DragonFly BSD	0.25
Network Computer	0.25
Packard Bell	0.25
Oracle Database	0.25
Burroughs large systems	0.25
Software bloat	0.25
Am386	0.25
List of Intel chipsets	0.25
Folding@home	0.25
CA Technologies	0.25
Tokyo Institute of Technology	0.25
Mechanical calculator	0.25
LINPACK	0.25
Amdahl Corporation	0.25
Processor register	0.25
International Computers Limited	0.25
Energy development	0.25
Tau Beta Pi	0.25
Red Hat Enterprise Linux	0.25
Natural environment	0.25
Gateway, Inc.	0.25
Athabasca University	0.25
HP 2100	0.25
Huseyn Shaheed Suhrawardy	0.25
UNIX System V	0.25
Resource Conservation and Recovery Act	0.25
MontaVista	0.25
Alkaline battery	0.25
Fight song	0.25
Comparison of OpenGL and Direct3D	0.25
Flame retardant	0.25
Enterprise application integration	0.25
Olivetti	0.25
Cognos	0.25
National Association of Collegiate Directors of Athletics	0.25
Environmentally friendly	0.25
Refrigerator	0.25
AST Research	0.25
Geode (processor)	0.25
2000s energy crisis	0.25
SUSE Linux Enterprise Desktop	0.25
IBM Rochester	0.25
Falcon Northwest	0.25
PowerVR	0.25
Wake-on-ring	0.25
Data quality	0.25
Control Panel (Windows)	0.25
Enterprise content management	0.25
Amazon Web Services	0.25
ThinkCentre	0.25
Microsoft Servers	0.25
Lustre (file system)	0.25
World Environment Day	0.25
Architectural lighting design	0.25
Circle K International	0.25
William McDonough	0.25
Tyan	0.25
Social networking service	0.25
Dell Dimension	0.25
Zinc–carbon battery	0.25
Sun Fire	0.25
Profiling (computer programming)	0.25
Hexavalent chromium	0.25
Channel I/O	0.25
AMD 10h	0.25
High Precision Event Timer	0.25
Overhead (computing)	0.25
Dell OptiPlex	0.25
HP 9800 series	0.25
Open MPI	0.25
Solar Decathlon	0.25
Sustainable architecture	0.25
Unstructured data	0.25
SK Hynix	0.25
HP Pavilion (computer)	0.25
Reflective surfaces (climate engineering)	0.25
Mercury battery	0.25
Dell PowerEdge	0.25
NSA warrantless surveillance (2001–07)	0.25
Multi-core processor	0.25
Electronic Waste Recycling Fee	0.25
SDS 940	0.25
List of VIA chipsets	0.25
List of Australian National University people	0.25
Market (economics)	0.25
Desktop Computer	0.25
Pakistan Atomic Energy Commission	0.25
CDC 6000 series	0.25
House Energy Rating	0.25
Personal web server	0.25
Oil	0.25
Fuel economy in automobiles	0.25
Renewable heat	0.25
Dell monitors	0.25
Time Stamp Counter	0.25
I-RAM	0.25
Media server	0.25
Java (software platform)	0.25
Intel Core 2	0.25
John Kerry	0.25
Australian Computer Society	0.25
RS/6000	0.25
Social media	0.25
Persistence (computer science)	0.25
WEEE Directive	0.25
WEEE directive	0.25
Energy recovery	0.25
Cradle-to-cradle design	0.25
Comparison of antivirus software	0.25
NXP Semiconductors	0.25
IBM Roadrunner	0.25
Intel Paragon	0.25
Apple menu	0.25
SUSE Linux	0.25
List of computer hardware manufacturers	0.25
Cornell University	0.25
Network booting	0.25
Aleutia	0.25
Rotational latency	0.25
Parallels Desktop for Mac	0.25
Ted Smith (environmentalist)	0.25
2000-watt society	0.25
RMClock	0.25
Energy audit	0.25
Energy Saving Trust	0.25
SPARC Enterprise	0.25
Collegiate Water Polo Association	0.25
JavaFX	0.25
Institute of Analytics Professionals of Australia	0.25
Bulldozer (microarchitecture)	0.25
China RoHS	0.25
Time Sharing Operating System	0.25
Spin-up	0.25
Green company	0.25
Uswsusp	0.25
Server farms	0.25
AVADirect	0.25
Fit-PC	0.25
Khazzoom–Brookes postulate	0.25
Green ICT	0.25
Shutdown (computing)	0.25
Solving the E-waste Problem	0.25
International Partnership for Energy Efficiency Cooperation	0.25
Tesla Model S	0.25
Environmental Technology Verification Program	0.25
Sustainable engineering	0.25
Bismuth	0.25
Metadata	0.25
Digital rights management	0.25
Industrial Assessment Center	0.25
Tiangong-1	0.25
Mac Mini	0.25
Voltage optimisation	0.25
IBM Yamato Facility	0.25
Waste	0.25
Windows 1.0	0.25
Application service management	0.25
IMac	0.25
New England	0.25
Lean IT	0.25
Business process management	0.25
Kinect	0.25
Energy input labeling	0.25
Pseudospark switch	0.25
Intel Core	0.25
Green Comm Challenge	0.25
Francesco De Leo	0.25
Exascale computing	0.25
Chang'e 3	0.25
Hibernate (OS feature)	0.25
IPad	0.25
Data virtualization	0.25
SeaBIOS	0.25
Electrical energy efficiency on United States farms	0.25
Energy conservation measure	0.25
Eurotech (company)	0.25
Keyboard controller (computing)	0.25
Learning analytics	0.25
Sustainable design	0.25
NetBSD	0.25
Index of recycling articles	0.25
Turkey RoHS	0.25
Office 365	0.25
Productivity software	0.25
Ford Motor Company	0.25
